0:0:0:0:0:0:0:1 - - [11/Jan/2024:23:10:53 -0200] "GET / HTTP/1.1" 200 11414
0:0:0:0:0:0:0:1 - - [11/Jan/2024:23:10:56 -0200] "GET /manager/html HTTP/1.1" 401 2562
0:0:0:0:0:0:0:1 - admin [11/Jan/2024:23:10:57 -0200] "GET /manager/html HTTP/1.1" 200 23354
127.0.0.1 - - [11/Jan/2024:23:11:04 -0200] "GET /tasks-backend/todo HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [11/Jan/2024:23:11:08 -0200] "GET /tasks/ HTTP/1.1" 200 841
0:0:0:0:0:0:0:1 - - [11/Jan/2024:23:11:08 -0200] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159521
0:0:0:0:0:0:0:1 - - [11/Jan/2024:23:11:08 -0200] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60016
127.0.0.1 - admin [11/Jan/2024:23:13:20 -0200] "GET /manager/text/list HTTP/1.1" 200 266
127.0.0.1 - admin [11/Jan/2024:23:13:20 -0200] "GET /manager/text/list HTTP/1.1" 200 266
127.0.0.1 - admin [11/Jan/2024:23:13:21 -0200] "GET /manager/text/undeploy?path=%2Ftasks-backend HTTP/1.1" 200 73
127.0.0.1 - admin [11/Jan/2024:23:13:58 -0200] "PUT /manager/text/deploy?path=%2Ftasks-backend HTTP/1.1" 200 71
127.0.0.1 - - [11/Jan/2024:23:14:29 -0200] "POST /tasks-backend/todo HTTP/1.1" 201 65
127.0.0.1 - - [11/Jan/2024:23:14:30 -0200] "POST /tasks-backend/todo HTTP/1.1" 400 160
127.0.0.1 - - [11/Jan/2024:23:14:32 -0200] "GET /tasks-backend/todo HTTP/1.1" 200 67
127.0.0.1 - admin [11/Jan/2024:23:15:04 -0200] "GET /manager/text/list HTTP/1.1" 200 266
127.0.0.1 - admin [11/Jan/2024:23:15:04 -0200] "GET /manager/text/list HTTP/1.1" 200 266
127.0.0.1 - admin [11/Jan/2024:23:15:08 -0200] "GET /manager/text/undeploy?path=%2Ftasks HTTP/1.1" 200 65
127.0.0.1 - admin [11/Jan/2024:23:15:32 -0200] "PUT /manager/text/deploy?path=%2Ftasks HTTP/1.1" 200 63
127.0.0.1 - - [11/Jan/2024:23:16:10 -0200] "GET /tasks-backend/todo HTTP/1.1" 200 67
127.0.0.1 - - [11/Jan/2024:23:16:10 -0200] "GET /tasks-backend/todo HTTP/1.1" 200 67
192.168.56.1 - - [11/Jan/2024:23:16:12 -0200] "GET /tasks/ HTTP/1.1" 200 1248
192.168.56.1 - - [11/Jan/2024:23:16:12 -0200] "GET /tasks/ HTTP/1.1" 200 1248
192.168.56.1 - - [11/Jan/2024:23:16:12 -0200] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60016
192.168.56.1 - - [11/Jan/2024:23:16:12 -0200] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60016
192.168.56.1 - - [11/Jan/2024:23:16:12 -0200] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159521
192.168.56.1 - - [11/Jan/2024:23:16:12 -0200] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159521
192.168.56.1 - - [11/Jan/2024:23:16:12 -0200] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.56.1 - - [11/Jan/2024:23:16:12 -0200] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.56.1 - - [11/Jan/2024:23:16:15 -0200] "GET /tasks/add HTTP/1.1" 200 1241
192.168.56.1 - - [11/Jan/2024:23:16:15 -0200] "GET /tasks/add HTTP/1.1" 200 1241
127.0.0.1 - - [11/Jan/2024:23:16:24 -0200] "POST /tasks-backend/todo HTTP/1.1" 400 160
127.0.0.1 - - [11/Jan/2024:23:16:24 -0200] "GET /tasks-backend/todo HTTP/1.1" 200 119
127.0.0.1 - - [11/Jan/2024:23:16:24 -0200] "GET /tasks-backend/todo HTTP/1.1" 200 119
192.168.56.1 - - [11/Jan/2024:23:16:24 -0200] "POST /tasks/save HTTP/1.1" 200 1500
192.168.56.1 - - [11/Jan/2024:23:16:24 -0200] "POST /tasks/save HTTP/1.1" 200 1350
127.0.0.1 - - [11/Jan/2024:23:16:24 -0200] "POST /tasks-backend/todo HTTP/1.1" 201 62
127.0.0.1 - - [11/Jan/2024:23:16:26 -0200] "GET /tasks-backend/todo HTTP/1.1" 200 119
192.168.56.1 - - [11/Jan/2024:23:16:26 -0200] "GET /tasks/ HTTP/1.1" 200 1430
127.0.0.1 - - [11/Jan/2024:23:16:26 -0200] "GET /tasks-backend/todo HTTP/1.1" 200 119
192.168.56.1 - - [11/Jan/2024:23:16:26 -0200] "GET /tasks/ HTTP/1.1" 200 1430
192.168.56.1 - - [11/Jan/2024:23:16:26 -0200] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159521
192.168.56.1 - - [11/Jan/2024:23:16:26 -0200] "GET /tasks/css/bootstrap.min.css HTTP/1.1" 200 159521
192.168.56.1 - - [11/Jan/2024:23:16:26 -0200] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60016
192.168.56.1 - - [11/Jan/2024:23:16:26 -0200] "GET /tasks/js/bootstrap.min.js HTTP/1.1" 200 60016
192.168.56.1 - - [11/Jan/2024:23:16:26 -0200] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.56.1 - - [11/Jan/2024:23:16:26 -0200] "GET /favicon.ico HTTP/1.1" 200 21630
192.168.56.1 - - [11/Jan/2024:23:16:28 -0200] "GET /tasks/add HTTP/1.1" 200 1241
192.168.56.1 - - [11/Jan/2024:23:16:28 -0200] "GET /tasks/add HTTP/1.1" 200 1241
127.0.0.1 - - [11/Jan/2024:23:16:29 -0200] "POST /tasks-backend/todo HTTP/1.1" 400 157
127.0.0.1 - - [11/Jan/2024:23:16:29 -0200] "GET /tasks-backend/todo HTTP/1.1" 200 119
192.168.56.1 - - [11/Jan/2024:23:16:29 -0200] "POST /tasks/save HTTP/1.1" 200 1327
127.0.0.1 - - [11/Jan/2024:23:16:29 -0200] "POST /tasks-backend/todo HTTP/1.1" 400 149
127.0.0.1 - - [11/Jan/2024:23:16:29 -0200] "GET /tasks-backend/todo HTTP/1.1" 200 119
192.168.56.1 - - [11/Jan/2024:23:16:29 -0200] "POST /tasks/save HTTP/1.1" 200 1329
